"","vertex","cluster","color"
"691",10826,445,"#EFC000FF"
"692",10827,116,"#0073C2FF"
"693",10829,116,"#0073C2FF"
"694",10830,116,"#0073C2FF"
"695",10839,445,"#EFC000FF"
"696",116,116,"#0073C2FF"
"697",512,445,"#EFC000FF"
"698",10875,33,"white"
"699",9845,445,"#EFC000FF"
"700",10892,445,"#EFC000FF"
"701",10893,533,"#8F7700FF"
"702",1432,584,"#3B3B3BFF"
"703",10988,445,"#EFC000FF"
"704",10989,116,"#0073C2FF"
"705",10990,533,"#8F7700FF"
"706",10992,116,"#0073C2FF"
"707",10993,632,"white"
"708",10995,182,"#868686FF"
"709",10997,165,"#CD534CFF"
"710",11001,116,"#0073C2FF"
"711",11002,533,"#8F7700FF"
"712",11003,671,"white"
"713",11004,633,"white"
"714",11006,182,"#868686FF"
"715",11007,445,"#EFC000FF"
"716",11008,445,"#EFC000FF"
"717",11045,533,"#8F7700FF"
"718",11046,445,"#EFC000FF"
"719",11047,182,"#868686FF"
"720",8125,445,"#EFC000FF"
"721",11050,333,"white"
"722",11052,533,"#8F7700FF"
"723",11053,116,"#0073C2FF"
"724",2386,1406,"#7AA6DCFF"
"725",11057,394,"white"
"726",11058,138,"#A73030FF"
"727",11060,634,"white"
"728",2387,1406,"#7AA6DCFF"
"729",11062,445,"#EFC000FF"
"730",11063,116,"#0073C2FF"
"731",1311,445,"#EFC000FF"
"732",11066,445,"#EFC000FF"
"733",11067,116,"#0073C2FF"
"734",11068,445,"#EFC000FF"
"735",11069,1006,"white"
"736",11071,182,"#868686FF"
"737",11075,165,"#CD534CFF"
"738",11076,445,"#EFC000FF"
"739",11078,1406,"#7AA6DCFF"
"740",11081,182,"#868686FF"
"741",11083,591,"white"
"742",11084,848,"white"
"743",11085,445,"#EFC000FF"
"744",8711,1406,"#7AA6DCFF"
"745",11088,116,"#0073C2FF"
"746",11089,182,"#868686FF"
"747",11090,488,"#003C67FF"
"748",11091,445,"#EFC000FF"
"749",11092,533,"#8F7700FF"
"750",8457,445,"#EFC000FF"
"751",9846,445,"#EFC000FF"
"752",11219,182,"#868686FF"
"753",11220,445,"#EFC000FF"
"754",11222,445,"#EFC000FF"
"755",11223,116,"#0073C2FF"
"756",11224,749,"white"
"757",11227,138,"#A73030FF"
"758",11228,116,"#0073C2FF"
"759",11230,533,"#8F7700FF"
"760",11231,488,"#003C67FF"
"761",11232,116,"#0073C2FF"
"762",11233,635,"white"
"763",50,445,"#EFC000FF"
"764",11709,1406,"#7AA6DCFF"
"765",11715,445,"#EFC000FF"
"766",11717,533,"#8F7700FF"
"767",11718,533,"#8F7700FF"
"768",11725,533,"#8F7700FF"
"769",11726,636,"white"
"770",11733,445,"#EFC000FF"
"771",11734,381,"white"
"772",11736,533,"#8F7700FF"
"773",11737,750,"white"
"774",11741,165,"#CD534CFF"
"775",11766,445,"#EFC000FF"
"776",11768,848,"white"
"777",11773,533,"#8F7700FF"
"778",11774,182,"#868686FF"
"779",11775,488,"#003C67FF"
"780",11776,116,"#0073C2FF"
"781",11777,116,"#0073C2FF"
"782",11778,182,"#868686FF"
"783",11779,533,"#8F7700FF"
"784",11236,445,"#EFC000FF"
"785",11784,116,"#0073C2FF"
"786",11785,116,"#0073C2FF"
"787",11786,1406,"#7AA6DCFF"
"788",11788,138,"#A73030FF"
"789",10539,116,"#0073C2FF"
"790",11790,445,"#EFC000FF"
"791",10360,491,"white"
"792",11796,394,"white"
"793",2390,116,"#0073C2FF"
"794",11800,182,"#868686FF"
"795",11802,445,"#EFC000FF"
"796",11804,1406,"#7AA6DCFF"
"797",11806,182,"#868686FF"
"798",11808,445,"#EFC000FF"
"799",11811,182,"#868686FF"
"800",11812,165,"#CD534CFF"
"801",11823,637,"white"
"802",11825,215,"#4A6990FF"
"803",11827,488,"#003C67FF"
"804",11831,445,"#EFC000FF"
"805",11832,182,"#868686FF"
"806",11833,1406,"#7AA6DCFF"
"807",11837,116,"#0073C2FF"
"808",2391,1406,"#7AA6DCFF"
"809",11839,116,"#0073C2FF"
"810",1939,165,"#CD534CFF"
"811",11930,533,"#8F7700FF"
"812",9847,445,"#EFC000FF"
"813",539,488,"#003C67FF"
"814",11935,116,"#0073C2FF"
"815",11936,182,"#868686FF"
"816",11938,182,"#868686FF"
"817",11939,584,"#3B3B3BFF"
